# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
an zhuan 	暗轉	c=1 d=1 t=54711
an zhuang 	安裝	c=54 d=0.0161792 t=57682
an zhuang bao 	安裝包	c=26 d=0.0183179 t=57682
an zhuang hao 	安裝好	c=1 d=1 t=45298
an zhuang hao le 	安裝好了	c=1 d=1 t=45014
an zhuang le 	安裝了	c=1 d=0.131994 t=57682
an zhuang shang 	安裝上	c=1 d=1 t=45006
an zhuang wan 	安裝完	c=3 d=1.68366 t=45577
an zhuo 	安卓	c=3 d=2.8272e-021 t=57682
ao 	奧	c=0 d=3.04816e-048 t=57682
ao si ka 	奧斯卡	c=1 d=1 t=41147
ba 	八	c=1 d=6.52262e-062 t=57682
ba 	吧	c=170 d=0.385006 t=57682
ba 	把	c=86 d=0.00462459 t=57682
ba ba 	爸爸	c=3 d=8.647e-026 t=57682
ba ni 	把你	c=1 d=1 t=41982
ba qun 	拔羣	c=2 d=1.65199e-037 t=57682
ba shi 	巴士	c=1 d=1 t=35049
ba wo 	把握	c=1 d=7.60478e-015 t=57682
bai 	白	c=2 d=5.35808e-014 t=57682
bai chi 	白吃	c=1 d=1 t=41640
bai ding 	白丁	c=1 d=1 t=53643
bai du 	百度	c=1 d=0.1 t=45854
bai du yun 	百度雲	c=3 d=1.0003 t=47642
bai fen bi 	百分比	c=1 d=1 t=35918
bai ge 	百個	c=1 d=2.12609e-021 t=57682
bai ming 	百名	c=1 d=1 t=54310
bai ming dan 	白名單	c=5 d=1.1577 t=54311
bai ming dan 	百名但	c=1 d=1 t=52031
bai yuan 	百元	c=1 d=1.96932e-061 t=57682
ban 	半	c=7 d=1.4798e-007 t=57682
ban 	扮	c=2 d=2.31024e-057 t=57682
ban 	板	c=3 d=1.45573e-006 t=57682
ban 	版	c=22 d=0.474744 t=57682
ban 	班	c=1 d=1 t=45409
ban 	辦	c=8 d=0.0417941 t=57682
ban ban 	斑斑	c=0 d=2.81981e-050 t=57682
ban ban 	般般	c=1 d=2.86243e-049 t=57682
ban ben 	版本	c=124 d=1.39107 t=57682
ban ben hao 	版本號	c=18 d=0.00320759 t=57682
ban ben ku 	版本庫	c=1 d=1.46224e-029 t=57682
ban ding 	頒訂	c=3 d=9.18188e-026 t=57682
ban duan 	半段	c=1 d=1 t=54049
ban fa 	辦法	c=8 d=1.00864e-013 t=57682
ban fan 	拌飯	c=3 d=1 t=50987
ban gong 	辦公	c=1 d=1 t=57682
ban gong wang 	辦公網	c=1 d=1 t=36604
ban hao 	辦好	c=1 d=6.02113e-062 t=57682
ban jia 	搬家	c=2 d=1.99501 t=47398
ban jiao 	半角	c=2 d=5.80823e-040 t=57682
ban ju 	半句	c=0 d=9.11542e-030 t=57682
ban li 	辦理	c=1 d=6.11213e-062 t=57682
ban miao 	半秒	c=1 d=9.70053e-055 t=57682
ban ping 	半屏	c=1 d=1 t=55602
ban quan 	版權	c=11 d=6.48418e-007 t=57682
ban shi 	辦事	c=0 d=5.42098e-063 t=57682
ban tian 	半天	c=1 d=1.02774 t=56224
ban tian jia 	半天假	c=1 d=1 t=56225
ban tou ming 	半透明	c=4 d=3.14377 t=40722
ban xiao shi 	半小時	c=3 d=1.92774 t=56759
bang 	幫	c=10 d=0.0220384 t=57682
bang 	棒	c=9 d=2.26973e-008 t=57682
bang 	磅	c=1 d=2.36953e-061 t=57682
bang 	綁	c=3 d=1.99005 t=57417
bang 	邦	c=1 d=9.71044e-067 t=57682
bang bang 	幫幫	c=1 d=6.52484e-066 t=57682
bang dao 	幫到	c=3 d=1 t=50821
bang ding 	綁定	c=49 d=3.94142e-006 t=57682
bang mang 	幫忙	c=70 d=0.0107928 t=57682
bang ni 	幫你	c=7 d=2.47404e-010 t=57682
bang nin 	幫您	c=2 d=3.73566e-005 t=57682
bang shang 	榜上	c=1 d=1 t=41422
bang ta 	幫他	c=1 d=0.0239928 t=57682
bang wan 	傍晚	c=1 d=1 t=39188
bang wo 	幫我	c=18 d=0.000296051 t=57682
bang zai 	綁在	c=1 d=1 t=47730
bang zhu 	幫助	c=6 d=0.00546167 t=57682
bao 	包	c=118 d=0.914249 t=57682
bao 	報	c=37 d=0.260254 t=57682
bao 	寶	c=16 d=0.357866 t=57682
bao 	抱	c=1 d=0.453845 t=57682
bao 	爆	c=4 d=1.36125e-040 t=57682
bao 	飽	c=3 d=0.45612 t=57682
bao an 	保安	c=0 d=0.1 t=35185
bao an 	寶安	c=3 d=2.93131 t=35197
bao an zhong xin qu 	保安中心區	c=1 d=1 t=35186
bao bao 	寶寶	c=1 d=2.21053e-038 t=57682
bao biao 	報表	c=1 d=1.98668e-076 t=57682
bao chi 	保持	c=2 d=8.36124e-013 t=57682
bao cun 	保存	c=9 d=0.00046717 t=57682
bao cuo 	報錯	c=13 d=1.25092e-006 t=57682
bao dao 	報到	c=4 d=6.31929e-013 t=57682
bao de 	保德	c=1 d=5.83244e-011 t=57682
bao fa 	爆發	c=1 d=1 t=41893
bao fu 	包袱	c=1 d=1 t=54665
bao gao 	報告	c=5 d=1.78977 t=57682
bao guang 	曝光	c=23 d=0.000711891 t=57682
bao guang lv 	曝光率	c=1 d=1 t=56694
bao han 	包含	c=28 d=1.38474e-006 t=57682
bao hu 	保護	c=22 d=3.6079e-005 t=57682
bao hu yi xia 	保護一下	c=1 d=1 t=54392
bao hui 	包會	c=1 d=5.97888e-038 t=57682
bao hui 	抱回	c=1 d=3.16186e-043 t=57682
bao kuo 	包括	c=5 d=5.69328e-021 t=57682
bao le 	報了	c=2 d=0.135335 t=57682
bao li 	暴力	c=2 d=1.05288e-018 t=57682
bao liu 	保留	c=14 d=0.000643077 t=57682
bao lu 	暴露	c=2 d=3.53443e-030 t=57682
bao ma 	寶馬	c=1 d=3.15466e-075 t=57682
bao min yi lu 	寶民一路	c=1 d=1 t=35230
bao ming 	包名	c=3 d=8.63377e-008 t=57682
bao ming 	報名	c=1 d=1.68656e-061 t=57682
bao qian 	抱歉	c=11 d=0.00019357 t=57682
bao xian 	保險	c=1 d=6.88226e-017 t=57682
bao ye 	報業	c=1 d=2.7544e-067 t=57682
bao ye 	寶爺	c=19 d=9.92975e-006 t=57682
bao yi ci 	褒義詞	c=1 d=1 t=49466
bao zha 	爆炸	c=1 d=1.81106e-046 t=57682
bao zhe 	包着	c=1 d=5.47732e-066 t=57682
bao zhe ge 	包這個	c=2 d=2.5371e-012 t=57682
bao zheng 	保證	c=4 d=3.39065e-012 t=57682
bao zhong 	保重	c=2 d=2.82681e-041 t=57682
bao zhuang 	包裝	c=2 d=1.99501 t=50704
bao zi fan 	煲仔飯	c=1 d=1 t=35115
bei 	備	c=1 d=1.24748e-072 t=57682
bei 	唄	c=60 d=0.000301585 t=57682
bei 	被	c=34 d=0.000201448 t=57682
bei an 	備案	c=4 d=1.64581e-038 t=57682
bei er 	貝爾	c=0 d=8.94224e-069 t=57682
bei fen 	備份	c=3 d=1.12826e-008 t=57682
bei hao 	備好	c=1 d=1.4439e-057 t=57682
bei jing 	北京	c=1 d=4.58767e-069 t=57682
bei jing 	背景	c=7 d=2.30638e-008 t=57682
bei ju 	悲劇	c=1 d=3.42345e-037 t=57682
bei liao 	被撩	c=1 d=1 t=41434
bei mai 	被賣	c=1 d=1 t=41437
bei qu 	北區	c=2 d=2.48593e-037 t=57682
bei tai 	備胎	c=1 d=1 t=51628
bei wang 	備忘	c=1 d=1.85729e-019 t=57682
bei wang xia 	備忘下	c=1 d=9.14806e-071 t=57682
bei wo 	被我	c=1 d=1.5245e-049 t=57682
bei yong 	備用	c=1 d=1.21738e-020 t=57682
ben 	本	c=3 d=2.38237e-008 t=57682
ben ci 	本次	c=6 d=1.36276 t=57682
ben di 	本地	c=121 d=0.00171238 t=57682
ben di ge 	本地個	c=1 d=1 t=39654
ben di ge qu 	本地歌曲	c=1 d=1 t=39664
ben di kai fa 	本地開發	c=1 d=1 t=36574
ben ji 	本機	c=1 d=1 t=57682
ben kui 	奔潰	c=3 d=1.51772e-026 t=57682
ben kui da lu 	奔潰大陸	c=1 d=2.38027e-026 t=57682
ben lai 	本來	c=9 d=5.63472e-017 t=57682
ben ren 	本人	c=1 d=6.62119e-062 t=57682
ben shen 	本身	c=25 d=0.000110555 t=57682
ben wen jian 	本文件	c=1 d=1 t=54633
ben xiang 	本想	c=1 d=8.21968e-018 t=57682
ben zhou 	本週	c=5 d=6.93002e-026 t=57682
ben zi 	本子	c=1 d=1 t=42348
beng kui 	崩潰	c=4 d=1.50209e-009 t=57682
beng kui da lu 	崩潰大陸	c=1 d=1 t=35013
bi 	比	c=14 d=1.24025e-011 t=57682
bi 	逼	c=1 d=0.00657159 t=57682
bi an 	彼岸	c=0 d=5.48514e-025 t=57682
bi an fang na ge 	彼岸方那個	c=1 d=5.51263e-024 t=57682
bi dui 	比對	c=2 d=1.86632e-017 t=57682
bi fang 	比方	c=6 d=0.00402593 t=57682
bi ge 	比個	c=1 d=1 t=45850
bi ji 	筆記	c=26 d=0.00447164 t=57682
bi ji ben 	筆記本	c=2 d=0.951229 t=57682
bi ji li 	筆記裏	c=1 d=1 t=46174
bi jiao 	比較	c=47 d=0.288513 t=57682
bi jiao da 	比較大	c=2 d=1.18938e-011 t=57682
bi jiao duo 	比較多	c=2 d=9.87798e-033 t=57682
bi jiao gao 	比較高	c=1 d=1.6623e-067 t=57682
bi jiao hao 	比較好	c=2 d=0.0319048 t=57682
bi jiao ji 	比較級	c=1 d=1 t=51109
bi jiao kuai 	比較快	c=1 d=5.00589e-066 t=57682
bi jiao man 	比較慢	c=1 d=0.0513033 t=57682
bi jiao xiao 	比較小	c=1 d=2.87326e-064 t=57682
bi jiao xu 	比較虛	c=1 d=1.41218e-031 t=57682
bi jing 	畢竟	c=8 d=2.55598e-011 t=57682
bi kai 	避開	c=1 d=5.53708e-076 t=57682
bi li 	比例	c=1 d=1.26397e-050 t=57682
bi mian 	避免	c=13 d=0.00660459 t=57682
bi ni 	比你	c=1 d=1.01889e-073 t=57682
bi niu er 	鼻牛兒	c=0 d=3.26881e-053 t=57682
bi niu er di 	鼻牛兒睇	c=1 d=3.28519e-052 t=57682
bi ren 	逼人	c=0 d=2.89483e-006 t=57682
bi ru 	比如	c=1 d=6.20365e-031 t=57682
bi wo 	比我	c=0 d=0.1 t=53109
bi wo duo 	比我多	c=1 d=1 t=53110
bi wo men 	比我們	c=1 d=1 t=35865
bi xian 	必現	c=9 d=0.0122161 t=57682
bi xian 	避險	c=1 d=4.31609e-057 t=57682
bi xu 	必須	c=2 d=1 t=54185
bi yao 	必要	c=3 d=7.97404e-014 t=57682
bi zu 	鼻祖	c=0 d=0.1 t=50244
bian 	便	c=1 d=9.67054e-048 t=57682
bian 	編	c=1 d=1.05982e-007 t=57682
bian 	變	c=6 d=0.0330412 t=57682
bian 	遍	c=3 d=4.63729e-040 t=57682
bian 	邊	c=1 d=0.301194 t=57682
bian bu guo 	編不過	c=1 d=1.91548e-029 t=57682
bian cheng 	編程	c=1 d=1 t=35487
bian cheng 	變成	c=8 d=4.16851e-006 t=57682
bian cun 	邊存	c=2 d=2.37412e-025 t=57682
bian dei 	變得	c=1 d=1.25634e-067 t=57682
bian dong 	變動	c=2 d=4.44541e-022 t=57682
bian ge 	邊個	c=2 d=6.6257e-070 t=57682
bian geng 	變更	c=1 d=7.50918e-072 t=57682
bian hu 	辯護	c=1 d=2.64199e-018 t=57682
bian hua 	變化	c=29 d=2.83573e-016 t=57682
bian ji 	編輯	c=6 d=2.13566e-015 t=57682
bian ji qi 	編輯器	c=1 d=1 t=46821
bian jie ma 	變解碼	c=1 d=3.80258e-008 t=57682
bian kuang 	邊框	c=1 d=1 t=44559
bian li 	便利	c=1 d=7.42459e-027 t=57682
bian li 	遍歷	c=40 d=1.80491e-006 t=57682
bian li wan 	遍歷完	c=1 d=1 t=46569
bian liang 	變量	c=25 d=0.00884821 t=57682
bian shang 	邊上	c=1 d=1 t=35062
bian ting 	邊聽	c=2 d=2.36228e-025 t=57682
bian tong 	變通	c=1 d=6.77496e-038 t=57682
bian wei 	邊位	c=1 d=5.62896e-005 t=57682
bian xiao 	變小	c=1 d=3.73097e-049 t=57682
bian xie 	編寫	c=4 d=1.66812e-032 t=57682
bian yi 	便宜	c=1 d=3.68231e-071 t=57682
bian yi 	編譯	c=54 d=2.63868e-006 t=57682
bian yi hou 	編譯後	c=1 d=1.77853e-068 t=57682
bian yi qi 	編譯器	c=1 d=3.44882e-065 t=57682
bian zhi 	貶值	c=1 d=6.52706e-070 t=57682
biao 	表	c=27 d=6.35217e-013 t=57682
biao da 	表達	c=4 d=6.36632e-012 t=57682
biao ge 	表格	c=1 d=9.49035e-062 t=57682
biao hua 	表話	c=2 d=1.02476e-023 t=57682
biao ji 	標記	c=22 d=6.20702e-008 t=57682
biao ji wei 	標記位	c=4 d=2.71348e-038 t=57682
biao ming 	表明	c=5 d=4.97307e-017 t=57682
biao qing 	表情	c=3 d=1.93239 t=38674
biao shi 	標識	c=1 d=0.00162053 t=57682
biao shi 	表示	c=19 d=9.42085e-005 t=57682
biao ti 	標題	c=10 d=3.49475e-006 t=57682
biao xian 	表現	c=1 d=6.01601e-052 t=57682
biao yi 	表意	c=1 d=1.02052e-033 t=57682
biao zhi 	標誌	c=4 d=0.00161252 t=57682
biao zhu 	標註	c=2 d=1.21069e-014 t=57682
biao zhun 	標準	c=6 d=1.03384e-046 t=57682
bie 	別	c=7 d=0.00155013 t=57682
bie 	憋	c=1 d=4.68144e-013 t=57682
bie mo wo 	別摸我	c=2 d=6.57083e-075 t=57682
bie pa 	別怕	c=1 d=8.19375e-069 t=57682
bie ren 	別人	c=16 d=2.92512e-005 t=57682
bie shuo 	別說	c=1 d=2.38265e-067 t=57682
bie shuo le 	別說了	c=1 d=3.53793e-071 t=57682
bie ti jiao 	別提交	c=1 d=7.90385e-057 t=57682
bin 	賓	c=2 d=6.40287e-012 t=57682
bing 	並	c=22 d=0.615814 t=57682
bing 	兵	c=2 d=1.49411 t=47099
bing 	冰	c=1 d=1 t=52928
bing 	病	c=1 d=5.29e-039 t=57682
bing bu 	並不	c=0 d=0.1 t=43140
bing bu da 	並不大	c=1 d=1 t=43141
bing bu shi 	並不是	c=3 d=2.60274e-013 t=57682
bing mei 	並沒	c=1 d=0.0066709 t=57682
bing mei you 	並沒有	c=12 d=0.173774 t=57682
bing qie 	並且	c=16 d=1.16845e-008 t=57682
bing ren 	病人	c=1 d=4.10992e-040 t=57682
bing xing 	並行	c=3 d=2.98506 t=53438
bing zhan shi 	並展示	c=1 d=1.8961e-027 t=57682
bo 	博	c=1 d=9.89817e-058 t=57682
bo 	播	c=1 d=1.18769e-053 t=57682
bo ang 	波昂	c=1 d=2.36638e-016 t=57682
bo dang 	波盪	c=1 d=1 t=43794
bo fan 	博反	c=2 d=1 t=46177
bo fang 	播放	c=204 d=0.689079 t=57682
bo fang jin cheng 	播放進程	c=5 d=1 t=53257
bo fang le 	播放了	c=1 d=9.66263e-009 t=57682
bo fang liang 	播放量	c=1 d=1 t=44106
bo fang lie biao 	播放列表	c=3 d=1 t=53483
bo fang na ge jin cheng 	播放那個進程	c=1 d=1 t=48025
bo fang qi 	播放器	c=4 d=9.75491e-042 t=57682
bo fang wu fan ying 	播放無反應	c=1 d=1 t=44691
bo fang ye 	播放頁	c=7 d=0.00334597 t=57682
bo fang zhuang tai 	播放狀態	c=1 d=9.7091e-036 t=57682
bo guang 	波光	c=1 d=1 t=49416
bo lang 	波浪	c=1 d=1 t=36022
bo li 	玻璃	c=1 d=1.04763e-018 t=57682
bo zhe 	波折	c=1 d=1 t=40601
bu 	不	c=60 d=0.243443 t=57682
bu 	步	c=6 d=0.763379 t=57682
bu 	補	c=7 d=4.15998e-006 t=57682
bu 	部	c=3 d=2.71967e-006 t=57682
bu a hou 	不啊後	c=1 d=1 t=53930
bu an 	不安	c=1 d=7.84546e-058 t=57682
bu an quan 	不安全	c=3 d=2.57044e-040 t=57682
bu bao 	不報	c=1 d=1.27056e-023 t=57682
bu bao han 	不包含	c=3 d=1.06234e-035 t=57682
bu bao liu 	不保留	c=4 d=1 t=51336
bu bao zheng 	不保證	c=1 d=4.28129e-050 t=57682
bu bu bu 	不不不	c=3 d=1.94648e-012 t=57682
bu cheng gong 	不成功	c=1 d=1 t=55193
bu chong 	補充	c=12 d=9.38983e-025 t=57682
bu chong xian 	不重現	c=1 d=1 t=51001
bu chou 	不愁	c=1 d=7.28253e-035 t=57682
bu chou 	不抽	c=1 d=7.31903e-035 t=57682
bu chu 	不出	c=1 d=4.51552e-059 t=57682
bu chu lai 	不出來	c=2 d=1.0029e-034 t=57682
bu chu li 	不處理	c=3 d=5.47954e-012 t=57682
bu chu qu 	不出去	c=1 d=5.25735e-025 t=57682
bu cong 	不從	c=1 d=1.96457e-062 t=57682
bu cun zai 	不存在	c=3 d=1.86163e-014 t=57682
bu cuo 	不錯	c=5 d=2.61131e-028 t=57682
bu da 	不大	c=5 d=8.27241e-005 t=57682
bu da rao 	不打擾	c=3 d=0.000161662 t=57682
bu da suan 	不打算	c=3 d=1.60327e-024 t=57682
bu dai 	不帶	c=2 d=2.29246e-025 t=57682
bu dai biao 	不代表	c=1 d=2.3159e-027 t=57682
bu dan wu 	不耽誤	c=1 d=1 t=41784
bu dao 	不到	c=8 d=0.000248519 t=57682
bu dei liao 	不得了	c=1 d=1 t=46090
bu di gui 	不遞歸	c=2 d=1.79707e-034 t=57682
bu dian 	不點	c=1 d=4.36184e-034 t=57682
bu dian 	布點	c=1 d=4.34008e-034 t=57682
bu ding 	補丁	c=1 d=5.19497e-061 t=57682
bu ding qi 	不定期	c=1 d=1 t=42477
bu dong 	不懂	c=6 d=4.41722e-006 t=57682
bu dong ne ge 	不懂呢個	c=1 d=2.22041e-061 t=57682
bu dou ni 	不逗你	c=1 d=0.00562801 t=57682
bu du qu 	不讀取	c=1 d=1.57371e-011 t=57682
bu duan 	不斷	c=0 d=6.38021e-068 t=57682
bu dui 	不對	c=11 d=0.119433 t=57682
bu dui qi 	不對齊	c=2 d=0.0301974 t=57682
bu duo 	不多	c=5 d=1.18305e-007 t=57682
bu fa 	不發	c=2 d=1.01832 t=48926
bu fa song 	不發送	c=1 d=1 t=42123
bu fan hui 	不返回	c=1 d=1 t=38751
bu fang bian 	不方便	c=1 d=9.09683e-005 t=57682
bu fei 	不菲	c=0 d=0.000484407 t=57682
bu fei he 	不菲和	c=1 d=0.00486835 t=57682
bu fen 	部分	c=32 d=7.478e-006 t=57682
bu fong 	不甮	c=1 d=4.72336e-059 t=57682
bu fu gai 	不覆蓋	c=1 d=0.000642592 t=57682
bu gai 	不改	c=4 d=1.35124e-012 t=57682
bu gan 	不敢	c=6 d=0.301194 t=57682
bu gan xing qu 	不感興趣	c=1 d=8.90067e-072 t=57682
bu ge 	補個	c=1 d=2.9958e-026 t=57682
bu gen 	不跟	c=2 d=7.99908e-021 t=57682
bu gou 	不夠	c=3 d=0.364219 t=57682
bu guai 	不乖	c=1 d=1.35308e-028 t=57682
bu guan 	不管	c=4 d=2.09801e-041 t=57682
bu gui 	不貴	c=0 d=0.1 t=36410
bu gui fan 	不規範	c=1 d=1 t=54062
bu guo 	不過	c=46 d=0.384445 t=57682
bu guo xian zai 	不過現在	c=1 d=6.84538e-042 t=57682
bu hao 	不好	c=35 d=0.761913 t=57682
bu hao yi si 	不好意思	c=3 d=3.13529e-032 t=57682
bu he li 	不合理	c=2 d=1 t=53741
bu hu 	不胡	c=2 d=0.0327124 t=57682
bu hu tong 	不互通	c=1 d=1 t=47849
bu huai yi 	不懷疑	c=1 d=1 t=43810
bu huan 	不換	c=1 d=2.6332e-067 t=57682
bu hui 	不會	c=86 d=0.0293922 t=57682
bu hui diao 	不回調	c=2 d=1.32448e-012 t=57682
bu hui you 	不會有	c=1 d=3.64839e-021 t=57682
bu hun xiao 	不混淆	c=2 d=1.00001 t=56391
bu ji 	不及	c=0 d=3.85664e-028 t=57682
bu ji 	不急	c=1 d=1 t=49733
bu ji ben yi zhi 	不基本一致	c=1 d=1.68977e-054 t=57682
bu ji de 	不記得	c=2 d=1.65041e-012 t=57682
bu ji shi 	不及時	c=1 d=3.87598e-027 t=57682
bu jia mi 	不加密	c=1 d=1 t=47664
bu jian 	不見	c=1 d=1 t=52405
bu jian yi 	不建議	c=3 d=1 t=55074
bu jiao 	不繳	c=1 d=3.6002e-041 t=57682
bu jie mi 	不解密	c=1 d=8.86712e-057 t=57682
bu jie shu 	不結束	c=1 d=1 t=36772
bu jie yi 	不介意	c=1 d=1 t=42225
bu jin 	不僅	c=3 d=1.54281e-013 t=57682
bu jin neng 	不僅能	c=1 d=3.40348e-027 t=57682
bu jin qu 	不進去	c=1 d=7.27734e-056 t=57682
bu jin xing 	不進行	c=1 d=1 t=57142
bu jin xu yao 	不僅需要	c=1 d=1.19905e-018 t=57682
bu jiu 	不久	c=2 d=1.18979e-015 t=57682
bu jiu hao 	不就好	c=1 d=1 t=52424
bu jiu jie 	不糾結	c=1 d=6.96705e-014 t=57682
bu jiu shi 	不就是	c=1 d=9.8508e-030 t=57682
bu ju 	佈局	c=3 d=6.68233e-023 t=57682
bu jue de 	不覺得	c=1 d=1 t=48923
bu ka 	不卡	c=1 d=2.79955e-023 t=57682
bu kai fa 	不開發	c=1 d=4.43002e-040 t=57682
bu kai xin 	不開心	c=1 d=1.40371e-019 t=57682
bu kan 	不看	c=3 d=0.128735 t=57682
bu kao 	不拷	c=1 d=7.15437e-032 t=57682
bu kao pu 	不靠譜	c=1 d=1 t=54332
bu ke 	不可	c=1 d=4.77683e-015 t=57682
bu ke kong zhi 	不可控制	c=1 d=5.75638e-033 t=57682
bu ke neng 	不可能	c=5 d=2.26965e-025 t=57682
bu ke qi 	不客氣	c=2 d=1.0029e-034 t=57682
bu ke yi 	不可以	c=3 d=1.01271 t=53827
bu ke yong 	不可用	c=5 d=1.95185e-015 t=57682
bu ken 	不肯	c=1 d=1 t=44991
bu kui shi 	不愧是	c=1 d=1 t=39213
bu lai 	不來	c=1 d=1.63616e-057 t=57682
bu le 	補了	c=1 d=9.86926e-052 t=57682
bu li jie 	不理解	c=1 d=4.95119e-025 t=57682
bu lian xi 	不聯繫	c=1 d=1 t=44899
bu liao 	不了	c=18 d=0.0370107 t=57682
bu man zu 	不滿足	c=3 d=7.83904e-019 t=57682
bu men 	部門	c=2 d=7.10249e-064 t=57682
bu nan 	不難	c=1 d=2.27004e-027 t=57682
bu neng 	不能	c=59 d=0.216085 t=57682
bu neng gai 	不能改	c=1 d=5.49635e-048 t=57682
bu niao 	不鳥	c=1 d=1 t=38589
bu nu li 	不努力	c=1 d=5.16747e-028 t=57682
bu pa 	不怕	c=1 d=0.390628 t=57682
bu pei 	不賠	c=1 d=1.31963e-057 t=57682
bu pei tao 	不配套	c=1 d=1.60436e-032 t=57682
bu piao liang 	不漂亮	c=1 d=1 t=43777
bu qi 	不起	c=1 d=1.52192e-076 t=57682
bu qiang qiu 	不強求	c=1 d=1 t=50171
bu qing chu 	不清楚	c=3 d=8.01265e-012 t=57682
bu qu 	不去	c=2 d=5.80237e-009 t=57682
bu qu chong 	不去重	c=1 d=1 t=49142
bu qu diao 	不去掉	c=1 d=1 t=55430
bu qu fen 	不區分	c=4 d=2.81214e-017 t=57682
bu quan 	不全	c=6 d=3.87248e-015 t=57682
bu que ding 	不確定	c=18 d=0.0229371 t=57682
bu ran 	不然	c=28 d=0.085851 t=57682
bu rang 	不讓	c=1 d=1 t=40647
bu re qi 	不惹氣	c=1 d=3.63576e-039 t=57682
bu ren zhen kan 	不認真看	c=1 d=7.95481e-015 t=57682
bu ru 	不如	c=1 d=1.67216e-019 t=57682
bu sao miao 	不掃描	c=1 d=3.55831e-021 t=57682
bu shang 	不上	c=6 d=0.276948 t=57682
bu shang 	補上	c=2 d=4.55174e-006 t=57682
bu shang lai 	不上來	c=1 d=4.0273e-007 t=57682
bu she 	不捨	c=0 d=0.1 t=55139
bu she dei 	不捨得	c=1 d=1 t=55140
bu sheng xiao 	不生效	c=2 d=0.0871609 t=57682
bu shi 	不是	c=123 d=0.00109523 t=57682
bu shi 	不適	c=1 d=1 t=46863
bu shi he 	不適合	c=2 d=1.50759e-006 t=57682
bu shou xian 	不受限	c=2 d=1.64726 t=51938
bu shu 	部署	c=3 d=3.42351e-019 t=57682
bu shu fu 	不舒服	c=2 d=0.0023935 t=57682
bu shu hao 	部署好	c=1 d=1 t=38402
bu shu xi 	不熟悉	c=3 d=6.01643e-031 t=57682
bu shua xin 	不刷新	c=1 d=1 t=53782
bu shun 	不順	c=1 d=1 t=42097
bu shuo 	不說	c=2 d=1 t=56647
bu shuo le 	不說了	c=1 d=1 t=44173
bu suan 	不算	c=4 d=2.63312e-018 t=57682
bu tai 	不太	c=29 d=0.560476 t=57682
bu tai dong 	不太懂	c=1 d=1 t=57061
bu tai hao 	不太好	c=2 d=6.33456e-012 t=57682
bu tai ke neng 	不太可能	c=2 d=4.15348e-017 t=57682
bu tai qing chu 	不太清楚	c=1 d=4.38281e-061 t=57682
bu tai yi yang 	不太一樣	c=1 d=2.25588e-071 t=57682
